age,annual_income,employment_length_years,home_ownership,credit_history_years,open_credit_lines,past_delinquencies_2yr,credit_utilization,loan_amount,loan_term_months,interest_rate,purpose,debt_to_income,payment_to_income,default
33,79437.0,18.1,MORTGAGE,13.4,7,0,0.375,35368.0,36,6.95,credit_card,0.148,0.165,0
41,113421.0,13.5,OWN,15.5,4,1,0.283,7115.0,24,11.56,other,0.031,0.035,0
26,61252.0,4.3,OWN,7.9,4,0,0.332,8723.0,36,6.14,credit_card,0.047,0.052,0
45,47687.0,6.2,MORTGAGE,22.1,2,1,0.398,8939.0,48,9.4,home_improvement,0.047,0.056,1
33,23102.0,0.4,RENT,14.6,3,1,0.071,16637.0,36,10.99,debt_consolidation,0.24,0.283,0
36,51971.0,7.1,RENT,17.4,4,0,0.268,8054.0,36,11.75,credit_card,0.052,0.062,0
33,81774.0,7.4,RENT,13.1,5,0,0.09,11985.0,24,6.7,major_purchase,0.073,0.079,0
62,86926.0,2.7,MORTGAGE,42.5,3,1,0.309,29290.0,12,12.55,other,0.337,0.36,0
40,69716.0,1.5,RENT,20.0,4,0,0.121,19235.0,36,7.63,debt_consolidation,0.092,0.103,1
27,41330.0,14.8,MORTGAGE,0.6,2,0,0.428,20031.0,36,8.91,debt_consolidation,0.162,0.185,0
50,20163.0,3.3,OWN,28.8,6,0,0.258,8892.0,36,11.14,home_improvement,0.147,0.174,0
25,42294.0,6.4,RENT,6.0,4,1,0.073,10764.0,24,6.88,debt_consolidation,0.127,0.137,0
43,46529.0,0.2,RENT,24.4,3,0,0.083,19369.0,60,8.41,other,0.083,0.102,0
18,46330.0,3.2,MORTGAGE,0.0,7,0,0.134,30728.0,12,10.05,debt_consolidation,0.663,0.7,1
24,73812.0,10.2,RENT,4.2,5,1,0.253,35295.0,60,10.23,credit_card,0.096,0.123,0
42,146216.0,2.9,MORTGAGE,21.2,9,0,0.377,10137.0,36,11.84,debt_consolidation,0.023,0.028,0
49,57628.0,5.5,RENT,30.1,7,0,0.557,3402.0,12,7.56,debt_consolidation,0.059,0.061,0
42,48612.0,1.4,RENT,19.6,3,0,0.254,18224.0,36,10.09,small_business,0.125,0.145,1
39,47591.0,3.2,MORTGAGE,20.7,4,1,0.078,16279.0,24,9.44,debt_consolidation,0.171,0.188,0
36,57653.0,15.8,RENT,15.5,8,0,0.381,17794.0,48,9.79,credit_card,0.077,0.094,0
22,35805.0,5.0,OWN,1.1,7,1,0.157,14730.0,36,7.34,debt_consolidation,0.137,0.153,0
31,57532.0,13.9,MORTGAGE,12.3,5,2,0.331,52529.0,48,7.65,other,0.228,0.266,0
34,67874.0,13.9,RENT,10.8,3,0,0.459,22757.0,36,6.96,debt_consolidation,0.112,0.124,0
53,60165.0,17.3,RENT,32.1,6,1,0.485,28358.0,60,12.16,home_improvement,0.094,0.126,0
44,68103.0,13.5,MORTGAGE,22.9,2,0,0.058,8077.0,36,7.81,small_business,0.04,0.044,0
19,67297.0,0.0,MORTGAGE,0.0,11,1,0.132,8408.0,24,10.48,debt_consolidation,0.062,0.07,0
44,22338.0,16.3,RENT,18.8,4,0,0.42,6983.0,48,11.68,medical,0.078,0.098,0
35,74491.0,0.9,RENT,13.4,7,0,0.322,4977.0,60,9.09,debt_consolidation,0.013,0.017,0
32,38735.0,0.2,RENT,12.6,7,0,0.434,6950.0,36,6.33,home_improvement,0.06,0.066,0
47,31322.0,0.3,MORTGAGE,28.2,6,0,0.22,13358.0,60,11.8,small_business,0.085,0.113,0
52,31188.0,2.6,RENT,33.8,7,0,0.125,4908.0,12,10.63,debt_consolidation,0.157,0.167,0
51,67290.0,5.8,RENT,32.5,4,0,0.147,4076.0,48,7.08,debt_consolidation,0.015,0.017,0
30,48471.0,3.1,RENT,0.0,2,0,0.553,15540.0,60,8.24,debt_consolidation,0.064,0.078,0
36,23365.0,0.2,OWN,16.4,8,0,0.302,13286.0,36,6.17,debt_consolidation,0.19,0.208,0
44,68804.0,3.9,RENT,19.1,5,1,0.435,17149.0,36,5.46,debt_consolidation,0.083,0.09,0
52,26376.0,3.5,MORTGAGE,33.4,5,0,0.3,12771.0,24,11.86,home_improvement,0.242,0.273,0
34,58099.0,8.5,MORTGAGE,14.3,3,1,0.504,24732.0,24,6.06,other,0.213,0.227,0
38,61038.0,2.0,RENT,10.3,4,0,0.45,7412.0,60,14.08,other,0.024,0.034,0
27,84355.0,1.5,RENT,8.7,2,0,0.334,26910.0,24,8.89,credit_card,0.16,0.175,0
26,132038.0,1.8,MORTGAGE,5.3,7,0,0.083,14099.0,48,9.36,credit_card,0.027,0.032,0
50,27383.0,2.2,MORTGAGE,24.5,6,0,0.276,5608.0,12,10.1,major_purchase,0.205,0.216,0
56,52773.0,5.5,RENT,29.0,1,0,0.193,24456.0,24,6.13,debt_consolidation,0.232,0.247,0
39,47185.0,3.8,MORTGAGE,15.4,4,0,0.362,13912.0,60,6.38,credit_card,0.059,0.069,0
52,67297.0,2.5,MORTGAGE,28.2,6,2,0.262,11201.0,36,7.54,credit_card,0.055,0.062,0
44,60345.0,2.8,OWN,22.8,7,1,0.368,24268.0,36,7.48,credit_card,0.134,0.15,0
32,45421.0,2.8,MORTGAGE,13.3,6,0,0.125,20685.0,36,5.0,debt_consolidation,0.152,0.164,0
44,43458.0,21.5,RENT,22.1,4,0,0.319,13177.0,12,9.75,debt_consolidation,0.303,0.319,0
58,31001.0,1.6,MORTGAGE,28.5,4,1,0.275,4478.0,48,9.15,debt_consolidation,0.036,0.043,0
40,88781.0,10.2,RENT,19.8,10,0,0.498,18466.0,48,9.99,debt_consolidation,0.052,0.063,0
59,68159.0,7.4,RENT,40.1,5,2,0.223,6681.0,60,9.53,home_improvement,0.02,0.025,0
18,85724.0,0.0,MORTGAGE,0.0,8,0,0.3,18144.0,48,6.16,home_improvement,0.053,0.06,0
50,46388.0,29.9,MORTGAGE,28.5,8,0,0.433,16559.0,36,9.52,major_purchase,0.119,0.137,0
41,39010.0,8.5,RENT,22.3,3,0,0.052,12494.0,36,8.25,other,0.107,0.121,0
36,31598.0,6.9,RENT,14.2,6,0,0.184,12214.0,24,7.87,debt_consolidation,0.193,0.21,0
41,64826.0,3.1,MORTGAGE,20.3,7,0,0.322,15837.0,36,12.73,debt_consolidation,0.081,0.098,0
18,32212.0,4.9,RENT,0.0,6,0,0.253,28719.0,36,9.25,small_business,0.297,0.341,0
37,136534.0,1.8,MORTGAGE,17.9,5,0,0.339,29025.0,24,6.52,medical,0.106,0.114,0
44,28175.0,0.2,OWN,25.5,6,0,0.126,7646.0,60,6.64,debt_consolidation,0.054,0.064,0
58,62120.0,10.8,MORTGAGE,37.1,2,1,0.031,14105.0,24,4.6,major_purchase,0.114,0.119,0
34,118590.0,13.6,RENT,13.4,4,0,0.41,15171.0,60,7.07,debt_consolidation,0.026,0.03,0
30,73097.0,1.1,MORTGAGE,10.8,4,0,0.106,5526.0,48,7.05,home_improvement,0.019,0.022,0
34,59150.0,9.3,RENT,14.9,2,1,0.118,13429.0,24,7.67,debt_consolidation,0.114,0.123,0
51,33382.0,8.1,MORTGAGE,31.7,3,0,0.447,9251.0,24,9.66,major_purchase,0.139,0.153,0
44,27150.0,1.2,OWN,24.0,5,0,0.393,7215.0,24,6.01,major_purchase,0.133,0.141,1
34,79620.0,3.3,OWN,5.0,5,0,0.066,7917.0,12,9.78,credit_card,0.099,0.105,1
46,115044.0,3.3,MORTGAGE,23.7,5,0,0.225,3152.0,36,11.64,home_improvement,0.009,0.011,0
41,43503.0,8.6,OWN,17.3,8,1,0.202,8154.0,36,8.4,debt_consolidation,0.062,0.071,0
52,30652.0,10.9,RENT,31.9,3,1,0.181,3555.0,48,9.59,debt_consolidation,0.029,0.035,0
32,15850.0,0.6,RENT,11.8,3,1,0.404,8423.0,36,8.71,other,0.177,0.202,1
36,33177.0,5.0,RENT,17.3,5,0,0.248,3055.0,36,9.42,medical,0.031,0.035,1
35,51183.0,8.6,RENT,13.2,1,1,0.207,16543.0,48,8.26,credit_card,0.081,0.095,0
22,120519.0,9.3,MORTGAGE,2.4,5,0,0.333,13903.0,48,10.52,debt_consolidation,0.029,0.035,0
44,75854.0,1.0,MORTGAGE,21.9,5,0,0.073,24030.0,24,7.18,small_business,0.158,0.171,0
43,63104.0,4.5,MORTGAGE,23.4,3,1,0.534,7315.0,12,10.15,debt_consolidation,0.116,0.122,0
40,44353.0,11.7,RENT,21.7,4,2,0.308,11658.0,36,12.34,medical,0.088,0.105,0
37,40474.0,2.3,MORTGAGE,18.4,5,1,0.463,7966.0,36,8.43,debt_consolidation,0.066,0.074,0
23,109406.0,3.3,RENT,0.0,4,0,0.425,8958.0,60,5.58,credit_card,0.016,0.019,0
35,59896.0,9.8,RENT,16.1,8,1,0.357,13582.0,36,12.16,debt_consolidation,0.076,0.091,0
36,18934.0,0.6,OWN,17.1,3,0,0.185,14482.0,36,4.28,debt_consolidation,0.255,0.272,0
30,38686.0,11.8,RENT,4.0,5,0,0.328,11637.0,36,14.16,major_purchase,0.1,0.124,0
38,35274.0,2.2,RENT,16.8,7,0,0.402,6420.0,36,10.33,debt_consolidation,0.061,0.071,0
45,41228.0,0.0,OWN,26.6,8,0,0.095,21875.0,36,13.28,home_improvement,0.177,0.215,0
63,71787.0,1.6,MORTGAGE,44.5,5,0,0.257,15410.0,48,11.51,medical,0.054,0.067,1
42,51343.0,0.6,MORTGAGE,23.0,1,0,0.151,18569.0,36,7.65,major_purchase,0.121,0.135,0
43,52134.0,0.6,OWN,22.3,4,2,0.211,16803.0,36,8.36,medical,0.107,0.122,0
39,104478.0,7.1,RENT,16.8,3,0,0.487,14321.0,60,9.26,medical,0.027,0.034,0
18,38245.0,1.4,MORTGAGE,0.0,4,0,0.241,15829.0,36,10.33,debt_consolidation,0.138,0.161,0
40,137599.0,16.4,RENT,15.9,4,0,0.318,9288.0,24,8.02,credit_card,0.034,0.037,0
41,38729.0,4.4,MORTGAGE,22.7,1,0,0.575,7257.0,12,9.31,other,0.187,0.197,0
70,56647.0,3.7,OWN,51.3,3,0,0.582,6317.0,24,9.44,major_purchase,0.056,0.061,0
38,47070.0,3.4,OWN,9.4,10,1,0.315,26667.0,12,11.93,medical,0.567,0.604,0
44,57625.0,7.1,MORTGAGE,25.6,2,0,0.519,6225.0,36,7.44,small_business,0.036,0.04,1
40,67663.0,3.6,MORTGAGE,15.4,4,1,0.448,10149.0,24,4.23,medical,0.075,0.078,0
26,67300.0,0.8,OWN,4.3,5,0,0.619,9620.0,36,6.32,debt_consolidation,0.048,0.052,0
54,37177.0,12.7,MORTGAGE,35.8,8,0,0.331,3524.0,24,9.34,home_improvement,0.047,0.052,1
49,30901.0,3.4,OWN,29.0,4,0,0.161,6197.0,24,10.57,other,0.1,0.112,0
49,189394.0,0.5,MORTGAGE,28.8,2,0,0.073,10302.0,48,9.31,credit_card,0.014,0.016,0
29,42532.0,4.5,RENT,2.9,2,1,0.201,7375.0,60,6.56,credit_card,0.035,0.041,0
57,76850.0,6.3,OWN,37.4,5,0,0.137,11160.0,60,7.91,debt_consolidation,0.029,0.035,0
23,24250.0,1.9,MORTGAGE,3.2,4,1,0.593,5590.0,48,9.32,medical,0.058,0.069,1
47,47108.0,9.7,RENT,28.6,4,0,0.174,5878.0,48,4.68,credit_card,0.031,0.034,0
66,50838.0,6.6,RENT,44.9,7,0,0.244,5332.0,36,9.34,debt_consolidation,0.035,0.04,0
28,68625.0,6.3,MORTGAGE,9.3,5,0,0.321,4007.0,24,7.39,debt_consolidation,0.029,0.031,0
33,15000.0,3.3,RENT,14.8,3,0,0.204,10071.0,24,10.19,other,0.336,0.372,0
41,58869.0,19.6,MORTGAGE,5.7,2,1,0.758,15935.0,36,8.3,debt_consolidation,0.09,0.102,0
34,30489.0,1.9,OWN,15.1,4,0,0.264,8546.0,48,9.23,major_purchase,0.07,0.084,0
21,63715.0,5.2,RENT,2.5,5,1,0.174,11641.0,60,11.06,major_purchase,0.037,0.048,0
41,32268.0,2.2,RENT,19.4,4,0,0.117,4551.0,36,9.1,debt_consolidation,0.047,0.054,0
27,35322.0,8.2,RENT,3.8,3,0,0.214,9072.0,36,9.08,debt_consolidation,0.086,0.098,1
46,47249.0,0.3,MORTGAGE,27.8,5,0,0.309,29419.0,36,8.76,medical,0.208,0.237,0
29,32011.0,0.3,RENT,10.7,4,0,0.369,12036.0,36,8.81,major_purchase,0.125,0.143,0
59,42712.0,10.0,RENT,40.7,7,0,0.064,19894.0,36,10.3,debt_consolidation,0.155,0.181,0
31,29831.0,3.4,RENT,12.9,8,0,0.286,8729.0,36,10.26,credit_card,0.098,0.114,0
36,21664.0,2.5,MORTGAGE,14.8,5,1,0.055,6847.0,48,10.06,credit_card,0.079,0.096,0
50,90127.0,5.6,MORTGAGE,29.3,3,0,0.203,8505.0,36,6.88,debt_consolidation,0.031,0.035,0
25,28338.0,7.3,RENT,3.7,7,0,0.275,17781.0,36,10.38,small_business,0.209,0.244,0
43,49546.0,1.3,RENT,22.9,8,0,0.24,7650.0,60,6.4,credit_card,0.031,0.036,0
56,78940.0,1.2,RENT,32.9,7,0,0.273,19455.0,48,8.7,debt_consolidation,0.062,0.073,0
21,39836.0,19.0,MORTGAGE,0.6,6,0,0.122,6806.0,12,9.39,debt_consolidation,0.171,0.18,0
42,35861.0,5.3,RENT,16.5,6,0,0.128,30121.0,48,11.69,home_improvement,0.21,0.264,0
43,60665.0,3.0,RENT,23.0,1,0,0.142,19681.0,60,9.05,credit_card,0.065,0.081,0
49,94747.0,9.7,MORTGAGE,26.3,3,0,0.068,20243.0,48,9.64,debt_consolidation,0.053,0.065,0
25,30192.0,4.5,MORTGAGE,5.4,3,0,0.24,7772.0,48,7.27,credit_card,0.064,0.074,0
24,50258.0,1.7,RENT,4.3,4,0,0.147,17471.0,36,6.87,debt_consolidation,0.116,0.129,0
46,22783.0,1.4,RENT,22.3,2,0,0.282,9215.0,36,8.48,credit_card,0.135,0.153,0
44,44507.0,3.0,MORTGAGE,25.7,10,0,0.03,12542.0,36,9.47,major_purchase,0.094,0.108,0
43,55111.0,11.8,RENT,22.5,4,1,0.169,13661.0,36,9.07,debt_consolidation,0.083,0.095,0
44,35337.0,0.4,MORTGAGE,22.1,4,0,0.307,9658.0,12,7.92,home_improvement,0.273,0.285,0
32,43110.0,1.5,MORTGAGE,9.8,7,0,0.357,15375.0,24,11.55,credit_card,0.178,0.201,0
43,26793.0,13.4,MORTGAGE,22.3,3,1,0.652,9363.0,12,7.1,major_purchase,0.349,0.363,1
44,56305.0,0.8,MORTGAGE,24.2,4,0,0.295,3051.0,36,13.74,other,0.018,0.022,0
31,91844.0,6.0,RENT,12.1,5,0,0.486,13657.0,24,7.69,medical,0.074,0.08,0
62,31302.0,1.4,OWN,36.8,7,0,0.337,8141.0,24,7.86,credit_card,0.13,0.141,0
46,39682.0,5.6,MORTGAGE,26.6,6,0,0.397,10522.0,36,8.84,debt_consolidation,0.088,0.101,0
26,69652.0,2.9,MORTGAGE,3.2,4,0,0.595,6975.0,24,9.0,debt_consolidation,0.05,0.055,0
48,99314.0,0.6,RENT,29.9,4,0,0.135,8974.0,60,7.44,other,0.018,0.022,0
28,25678.0,5.2,MORTGAGE,9.2,6,1,0.372,9810.0,36,8.7,major_purchase,0.127,0.145,0
49,49792.0,6.9,MORTGAGE,29.7,2,0,0.522,6752.0,24,9.45,home_improvement,0.068,0.075,0
54,62415.0,6.8,RENT,32.7,3,1,0.475,14587.0,36,10.58,home_improvement,0.078,0.091,0
30,51481.0,6.1,MORTGAGE,10.8,6,1,0.351,10480.0,60,7.0,medical,0.041,0.048,0
52,15703.0,4.2,MORTGAGE,33.9,2,0,0.444,13099.0,36,4.0,debt_consolidation,0.278,0.296,0
45,69602.0,4.4,MORTGAGE,26.4,4,0,0.188,31085.0,48,5.76,small_business,0.112,0.125,0
50,115806.0,6.1,OWN,31.1,4,0,0.123,32586.0,36,8.07,medical,0.094,0.106,0
63,57431.0,7.0,MORTGAGE,44.4,6,1,0.312,16020.0,12,7.19,debt_consolidation,0.279,0.29,0
37,32353.0,6.4,RENT,18.3,5,0,0.297,14395.0,48,8.77,home_improvement,0.111,0.132,0
31,41917.0,5.3,RENT,8.6,4,2,0.407,31058.0,48,6.85,debt_consolidation,0.185,0.212,0
29,131263.0,1.0,RENT,9.4,5,0,0.144,15703.0,60,8.86,debt_consolidation,0.024,0.03,0
30,85390.0,1.4,MORTGAGE,10.4,9,1,0.398,16467.0,48,10.52,debt_consolidation,0.048,0.059,0
39,74609.0,1.8,RENT,10.8,9,0,0.197,5991.0,36,8.9,medical,0.027,0.031,0
44,64745.0,15.1,RENT,24.2,8,0,0.321,12148.0,60,9.92,home_improvement,0.038,0.048,0
43,38927.0,8.5,MORTGAGE,17.1,7,0,0.393,11558.0,48,12.3,home_improvement,0.074,0.094,0
50,49007.0,4.8,MORTGAGE,30.9,6,0,0.282,5955.0,24,8.58,debt_consolidation,0.061,0.066,0
40,52106.0,1.7,MORTGAGE,20.5,5,1,0.179,33646.0,48,6.25,debt_consolidation,0.161,0.183,0
57,71310.0,0.7,RENT,37.5,3,0,0.016,8797.0,36,6.02,home_improvement,0.041,0.045,0
37,115204.0,13.7,RENT,16.6,4,0,0.12,5295.0,60,10.21,credit_card,0.009,0.012,0
73,94766.0,13.4,MORTGAGE,52.4,6,0,0.403,41652.0,36,10.24,debt_consolidation,0.147,0.171,0
48,26644.0,0.7,MORTGAGE,29.1,2,0,0.342,7625.0,12,9.9,home_improvement,0.286,0.302,1
30,60597.0,9.6,RENT,7.3,5,1,0.291,6287.0,48,12.17,debt_consolidation,0.026,0.033,0
27,78306.0,3.6,RENT,6.9,2,0,0.231,11694.0,12,9.28,debt_consolidation,0.149,0.157,0
46,73823.0,2.3,MORTGAGE,28.0,0,1,0.092,12373.0,12,9.29,home_improvement,0.168,0.176,0
37,39552.0,8.1,MORTGAGE,16.3,9,0,0.233,9338.0,36,9.98,major_purchase,0.079,0.091,0
49,232595.0,5.7,OWN,26.2,2,0,0.273,16270.0,24,11.49,credit_card,0.035,0.039,0
46,28608.0,9.1,OWN,27.1,6,0,0.261,6128.0,24,11.72,debt_consolidation,0.107,0.121,0
39,31521.0,0.5,MORTGAGE,20.9,5,1,0.437,6438.0,36,4.0,debt_consolidation,0.068,0.072,0
30,60888.0,2.3,RENT,7.1,6,0,0.326,39864.0,12,7.83,credit_card,0.655,0.683,1
22,156123.0,2.3,MORTGAGE,0.0,7,0,0.381,13350.0,36,10.73,home_improvement,0.029,0.033,0
35,35664.0,2.4,RENT,16.8,6,1,0.487,7522.0,24,7.93,credit_card,0.105,0.114,0
50,47434.0,4.2,RENT,23.7,4,2,0.173,14042.0,24,11.62,debt_consolidation,0.148,0.167,0
43,92841.0,2.0,RENT,23.7,5,0,0.298,7020.0,36,9.73,medical,0.025,0.029,0
25,53695.0,3.5,RENT,0.0,7,0,0.339,5033.0,48,9.94,medical,0.023,0.028,0
42,45830.0,2.8,RENT,20.9,4,0,0.531,9022.0,36,9.59,credit_card,0.066,0.076,0
45,71885.0,8.0,MORTGAGE,20.4,2,0,0.146,5738.0,36,6.52,major_purchase,0.027,0.029,0
29,62085.0,5.6,MORTGAGE,6.4,5,0,0.441,11425.0,36,11.49,debt_consolidation,0.061,0.073,1
42,90692.0,6.4,MORTGAGE,23.9,6,0,0.544,12232.0,24,12.39,credit_card,0.067,0.076,0
41,103335.0,1.4,MORTGAGE,22.8,6,0,0.308,7346.0,36,12.09,small_business,0.024,0.028,0
26,63165.0,2.4,MORTGAGE,5.8,4,0,0.364,12063.0,36,8.86,medical,0.064,0.073,0
44,62684.0,0.1,RENT,25.6,2,0,0.142,12329.0,24,8.42,debt_consolidation,0.098,0.107,0
47,60298.0,0.7,MORTGAGE,27.1,5,0,0.114,7612.0,48,9.3,home_improvement,0.032,0.038,0
53,69187.0,1.8,MORTGAGE,25.7,5,0,0.317,5494.0,48,11.25,credit_card,0.02,0.025,0
53,55692.0,0.4,RENT,34.0,5,0,0.579,5845.0,36,8.38,credit_card,0.035,0.04,0
23,54160.0,5.5,MORTGAGE,3.0,2,0,0.39,22544.0,24,9.47,credit_card,0.208,0.229,0
29,98549.0,37.7,RENT,9.5,6,1,0.48,4819.0,60,5.93,credit_card,0.01,0.011,0
46,115619.0,0.6,MORTGAGE,25.0,4,0,0.176,11206.0,48,9.64,major_purchase,0.024,0.029,1
46,25495.0,10.3,RENT,27.4,1,0,0.103,11561.0,24,9.56,major_purchase,0.227,0.25,0
46,54448.0,0.8,MORTGAGE,27.1,5,1,0.431,10182.0,36,6.4,debt_consolidation,0.062,0.069,0
75,38394.0,6.7,RENT,51.1,8,1,0.571,13907.0,24,9.94,debt_consolidation,0.181,0.2,1
47,46375.0,6.2,OWN,24.0,8,2,0.117,8223.0,36,8.92,small_business,0.059,0.068,0
54,66254.0,14.0,RENT,31.3,5,1,0.682,8244.0,60,10.57,debt_consolidation,0.025,0.032,0
51,75714.0,0.7,RENT,28.6,7,0,0.452,4861.0,36,5.24,home_improvement,0.021,0.023,0
48,51223.0,2.3,RENT,28.2,8,1,0.353,12002.0,12,8.62,major_purchase,0.234,0.245,0
36,20813.0,0.6,MORTGAGE,14.1,1,0,0.307,12858.0,48,12.58,small_business,0.154,0.197,1
49,33439.0,3.1,MORTGAGE,29.5,4,0,0.356,9519.0,48,4.0,major_purchase,0.071,0.077,0
31,84817.0,14.6,RENT,12.7,5,0,0.448,24608.0,60,8.17,credit_card,0.058,0.071,0
37,15000.0,9.1,MORTGAGE,17.5,1,1,0.191,6243.0,36,7.69,other,0.139,0.156,0
34,98097.0,7.7,MORTGAGE,15.5,7,0,0.149,9711.0,60,9.21,home_improvement,0.02,0.025,0
41,70306.0,4.6,MORTGAGE,21.5,3,0,0.216,13771.0,48,7.9,credit_card,0.049,0.057,0
68,104620.0,12.9,RENT,48.9,3,0,0.391,37112.0,48,9.45,credit_card,0.089,0.107,0
18,49056.0,3.6,RENT,0.0,3,0,0.165,8680.0,36,11.49,debt_consolidation,0.059,0.07,0
48,19328.0,1.0,RENT,28.7,9,0,0.23,13986.0,36,10.64,debt_consolidation,0.241,0.283,0
21,67183.0,10.9,OWN,0.0,4,0,0.2,5134.0,48,8.53,debt_consolidation,0.019,0.023,0
34,102470.0,2.0,RENT,13.8,3,0,0.377,5751.0,24,14.52,debt_consolidation,0.028,0.033,0
53,86022.0,0.3,OWN,27.4,1,0,0.031,30240.0,36,11.34,small_business,0.117,0.139,0
41,38896.0,0.8,MORTGAGE,22.7,5,0,0.526,14995.0,60,6.63,debt_consolidation,0.077,0.091,0
27,56578.0,5.6,MORTGAGE,5.5,4,0,0.17,8502.0,48,8.36,medical,0.038,0.044,0
31,41506.0,5.6,OWN,9.7,5,1,0.573,20624.0,48,11.92,debt_consolidation,0.124,0.157,0
48,35967.0,1.8,RENT,21.0,8,0,0.449,15451.0,24,8.75,debt_consolidation,0.215,0.235,0
31,87351.0,7.8,MORTGAGE,11.6,2,1,0.601,9748.0,36,8.71,credit_card,0.037,0.042,0
43,29769.0,8.9,RENT,23.9,2,1,0.127,6160.0,36,7.02,credit_card,0.069,0.077,0
41,34651.0,15.2,OWN,22.4,2,0,0.399,6349.0,48,11.44,small_business,0.046,0.057,0
32,31194.0,5.3,RENT,13.1,1,0,0.417,12686.0,36,8.48,major_purchase,0.136,0.154,0
66,25716.0,9.1,MORTGAGE,45.9,8,1,0.572,22529.0,36,6.38,debt_consolidation,0.292,0.322,0
48,58291.0,8.4,RENT,24.5,11,0,0.336,27252.0,12,6.72,credit_card,0.468,0.485,0
18,96834.0,1.8,MORTGAGE,0.0,2,0,0.555,4764.0,12,6.56,home_improvement,0.049,0.051,0
42,49393.0,2.2,OWN,23.5,3,1,0.465,9255.0,24,8.74,other,0.094,0.102,0
32,25518.0,3.9,MORTGAGE,13.0,2,0,0.334,20261.0,48,8.65,debt_consolidation,0.198,0.236,1
50,82452.0,0.1,OWN,31.7,7,1,0.351,4814.0,36,7.55,home_improvement,0.019,0.022,0
30,125851.0,2.1,OWN,4.2,9,0,0.155,14225.0,12,7.08,debt_consolidation,0.113,0.117,0
39,39218.0,3.9,MORTGAGE,14.8,4,1,0.167,10581.0,36,13.5,medical,0.09,0.11,0
46,42647.0,0.7,RENT,26.9,4,0,0.063,11319.0,36,5.87,credit_card,0.088,0.097,0
50,70111.0,0.8,MORTGAGE,31.1,5,0,0.259,39394.0,60,8.62,debt_consolidation,0.112,0.139,0
26,121898.0,3.7,RENT,0.9,2,0,0.32,11387.0,48,10.57,home_improvement,0.023,0.029,0
36,41776.0,7.9,RENT,18.0,7,1,0.175,9884.0,24,9.73,debt_consolidation,0.118,0.131,0
34,27827.0,10.8,MORTGAGE,13.2,4,5,0.222,35169.0,48,11.39,debt_consolidation,0.316,0.395,1
32,74288.0,4.7,RENT,6.6,6,3,0.347,20099.0,36,10.18,debt_consolidation,0.09,0.105,0
